Date,ClientIP,ClientCity,TestServer,Throughput,RTTMean,RTTVar,RTTMin,Loss
2022-09-01,2804:5bc:9039:1100:81f4:c232:f9ac:1147,Nova Friburgo,gig01,248.61,26,0,9,1.6
2022-09-01,2804:1e78:401:480:6cbb:2fb4:4ac2:47f7,Rio das Ostras,gig02,89.79,26,0,9,0.3
2022-09-01,187.63.13.36,Armacao de Buzios,gig01,37.18,142,4,21,0.3
2022-09-01,170.78.166.181,Armacao de Buzios,gig01,26.15,145,37,15,12.3
2022-09-01,187.63.14.74,Arraial do Cabo,gig04,18.56,14,4,8,6.3
2022-09-01,187.63.13.129,Armacao de Buzios,gig01,35.96,49,1,23,0.0
2022-09-01,187.63.12.5,Cabo Frio,gig03,49.25,35,3,14,0.8
2022-09-01,2804:5bc:9033:c50:c9d7:e66f:2fcb:853e,Nova Friburgo,gig03,91.57,30,0,11,0.2
2022-09-01,187.63.14.219,Arraial do Cabo,gig02,118.05,133,1,128,6.9
2022-09-01,187.63.12.31,Cabo Frio,gig01,32.98,26,2,20,0.7
2022-09-01,189.1.53.133,Nova Friburgo,gig02,107.41,132,1,127,0.1
2022-09-01,170.78.166.149,Armacao de Buzios,gig03,54.34,77,0,13,4.5
2022-09-01,187.63.13.110,Armacao de Buzios,gig02,1.38,164,37,129,0.0
2022-09-01,187.63.14.195,Cabo Frio,gig03,73.94,28,3,14,10.1
2022-09-01,2804:1e78:1101:270:7060:ad25:3d4c:10aa,Nova Friburgo,gig01,56.65,26,2,8,8.4
2022-09-01,2804:5bc:4021:14c0:89df:7abe:f181:5547,Nova Friburgo,gig03,92.68,32,1,11,0.3
2022-09-01,170.78.166.241,Armacao de Buzios,gig03,275.45,31,0,12,0.1
2022-09-01,2804:1e78:603:15b0::a1d,Rio das Ostras,gig04,2.5,108,18,10,5.8
2022-09-01,187.63.14.219,Arraial do Cabo,gig02,116.89,133,0,128,7.5
2022-09-01,170.78.166.181,Armacao de Buzios,gig03,31.7,94,1,14,15.8
2022-09-01,187.63.14.158,Arraial do Cabo,gig03,43.66,266,4,14,0.0
2022-09-01,187.63.13.239,Armacao de Buzios,gig01,212.76,57,0,20,4.3
2022-09-01,2804:5bc:4018:ee0:642d:6a58:650b:3d8,Nova Friburgo,gig03,28.84,36,1,12,0.2
2022-09-01,170.78.166.241,Armacao de Buzios,gig03,299.18,37,0,12,0.0
2022-09-01,2804:5bc:9038:1940:2c65:1a64:e7a5:2f74,Nova Friburgo,gig03,49.67,25,1,12,1.5
2022-09-01,170.78.166.149,Armacao de Buzios,gig02,60.11,274,3,128,2.0
2022-09-01,2804:5bc:9020:8a0:b86b:bd9f:d83f:c9a1,Nova Friburgo,gig04,92.09,19,1,6,0.0
